eXoID	Folder	Zipfile	ZipSize	Game	Year	Developer	Publisher	Genre	Description	Series	Region	Rating	PlayMode	Manual	Favorite	xmlID
941w	Nile-Pas	Nile - Passage to Egypt (1995).zip	626208173	Nile: Passage to Egypt	1995	Human Code, Inc.	Discovery Channel Multimedia	Adventure;Board / Party Game;Education	Through an interactive journey on the felucca (Egyptian sail boat) down the Nile you explore the modern and ancient Egypt. Native board games (e.g., a cribbage-like game called Senet) give a feeling of presence in Egypt. To your destination you can sail by cursors (in 360 degree view of surrounding) or by using a map. Choosing an object on the screen starts the movie, but also you can gain information by pictures, text and audio descriptions. Also you can write all that you will see in on-line journal, which clears at every start of a new game.			Not Rated	Single Player		false	64e6fa2a-3126-002b-2f01-014cdde32fc7	
1094w	Civ2	Sid Meier's Civilization II (1996).zip	584495574	Sid Meier's Civilization II	1996	MicroProse Software, Inc.	MicroProse Software, Inc.	Construction and Management Simulation;Strategy	Starting out with just a single unit and knowledge of a small local area, your challenge is to guide your civilization into becoming the dominant force, either by conquering every other civilization or by sending a spaceship to Alpha Centauri.As you'd imagine, a lot of challenges come into such a task. You must locate cities so as to make use of food, construction and trade resources, which can be later improved by constructing irrigation, roads, mines, railroads, and farmland. Each city can construct one item at a time - civilian and military units, buildings or Wonders of the World (there are 28 of these across the different eras of the game, and each can be possessed by only one city). The buildings and wonders have different effects - most buildings and some wonders improve defenses, scientific research, trade or food output, but most wonders offer unique advantages that can be used to great strategic effect.There are over 100 scientific advancements in the game, and most require prerequisites before they can be researched. How quickly this happens depends on your scientific output, which must be traded off against financial and military concerns.Combat can occur in cities or in the open terrain - things like forests and mountains give the defense an advantage. Unlike in the original Civilization, fights aren't always won outright - most times the winning unit will be damaged, reducing its movement speed and attacking prowess until it's repaired, but the losing unit always disappears from game. If multiple units are in a square that come sunder attack, the strongest unit fights - unless it is a city or Fortress, all units will be lost if the fight is lost. Once a city has no defensive units left, it can be captured. Certain units have the ability to cover all squares as fast as if they were roads, only a few can see submarines, and air units require re-fueling in a friendly city.There are up to 6 other Civilizations in the game, and keeping good diplomatic relations with these is crucial. At times you may want to trade knowledge or pool military resources with a neighbor - at others they may want to destroy you. If you make deals and go back on them your reputation is affected.	Civilization series; Genre: 4x; Sid Meier's licensees			Single Player	Sid Meier's Civilization II (1996).pdf	true	706a6165-c7ab-7471-104b-4baee9525d39	
1016w	PuttPR3x	Putt-Putt Joins the Parade (1992).zip	200473534	Putt-Putt Joins the Parade	1992	Humongous Entertainment, Inc.	Humongous Entertainment, Inc.	Adventure;Education	Putt-Putt, an adorable purple car, wants to join the Cartown Parade.  But, first he must earn money for a carwash, find a balloon, and get a pet (Pep, the puppy).  Children ages 3 to 8 have a great time delivering groceries and mowing lawns and learn good lessons like waiting for the green light before crossing the road.  Each screen has a multitude of fun things to click on, as well.	Junior Adventure games; Putt-Putt series		E - Everyone	Single Player		true	0eae7c3e-eb05-1478-0bee-ee26e41aed5d	
1007w	Profitan	Profitania (1998).zip	462886356	Profitania Deluxe	1998	LavaMind	LavaMind	Construction and Management Simulation;Simulation;Strategy	Profitania is an underground kingdom inhabited by exotic creatures known for their ingenuity. Recently, the Profitanians made an amazing discovery. They learned how to harness the giant magma pools near the planet's core and use this energy to power their emerging industry.  As a budding entrepreneur, you have constructed a new factory and hope to take advantage of this economic boom.  You must compete against five other players in a race to become the leading underground industrialist. The first company to dominate the market by reaching a cash value of one million gems wins the game!				Multiplayer; Single Player		false	6aea8020-2eaf-94aa-9630-30253f775cc3	
1162w	StevenSp	Steven Spielberg's Director's Chair (1996).zip	1900296982	Steven Spielberg's Director's Chair	1996	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Creativity;Education	With a guide like Steven Spielberg we have got a chance to direct our own movie in this interactive movie-making game. Some of the most talented people in cinema industry are also helping us to choose and do the right things during our project. In addition Jennifer Aniston and Quentin Tarantino are our stars, OUR STARS of OUR OWN MOVIE!However, like most of the interactive games, this game is lacking its game side: Mostly all you've to do is to click the places you've told and wait to see what happens next.			Not Rated	Single Player	Steven Spielberg's Director's Chair (1996).pdf	false	0018172e-7048-9c14-8664-6440783eb814	
448w	bpackLGM	Backpacker - The Lost Florence Gold Mine (1997).zip	276356745	Backpacker: The Lost Florence Gold Mine	1997	Animagination	Animagination	Adventure	You play detective McBlade, who one day receives a mysterious letter and decides to find the sender. He is requested to solve a murder case of 60 years ago. The identity of the murder was never determined. You have your reasons to suppose that this murder is somehow connected to the ancient Indian myth of the Death Cave. In spite of the great danger, you start your investigation.This is a classic 3rd person point & click adventure with an emphasis on dialogue.			E - Everyone	Single Player	Backpacker - The Lost Florence Gold Mine (1997).pdf	false	a014851b-3581-7619-2158-58b1ca5ddbc0	
1169w	Superboy	Superboy - Spies from Outer Space (1996).zip	208364558	Superboy: Spies from Outer Space	1996	Inverse Ink	Inverse Ink	Adventure;Visual Novel	Watch Superboy and Krypto in this multimedia comic book as they default an onslaught of aliens attacking the world.  Original source material from the 1960s Superboy animated TV show.				Single Player		false	07dcec59-4ea6-a7c1-c67c-7c72cc8aad4a	
398w	Anastasi	Anastasia - Adventures with Pooka and Bartok! (1999).zip	231961828	Anastasia: Adventures with Pooka and Bartok!	1997	Motion Works	Fox Interactive, Inc.	Action;Adventure	Anastasia: Adventures with Pooka and Bartok! is based on the animated movie Anastasia and designed for young players. It features five different scenes, depicting situations from the movie. Diary entries by Anya tell the happenings between those stages. The player takes the role of the puppy Pooka and needs to solve problems and puzzles to help Anya out. When searching through the screens, Pooka may meet the minions of the villain Rasputin. Then they take him to the underworld where he has to solve action or strategy mini games.The majority of the game is a traditional point & click adventure. Bartok, the bat, plays only a secondary part and provides some advice here and there. If players are stuck, they can use the in-game hint system.			Not Rated	Single Player		false	78b4e3a0-7d3b-066b-c9e8-e8036d52a77a	
1396w	APBABBall	APBA presents - Baseball for Windows (1995).zip	46230153	APBA presents Baseball for Windows	1995		Miller Associates Inc.	Sports	APBA presents: Baseball for Windows is a baseball simulation based on the board game APBA Baseball and an updated re-release of the 1993 version of the same name. The gameplay is focused on simulating single matches by using statistics which are kept for every athlete. The player's input is making decisions for every step of the match, e.g. how a pitcher should act. There is also the option to create custom teams and leagues.[13][10][13][10]The two main additions to this version is voice commentary by Ernie Harwell (a long-time radio baseball commenter) and the option to import athletes from Bill James Electronic Encyclopedia (a Major League Baseball database on CD-ROM).	Sports: Baseball					false	cde7e65e-c820-4af6-a0f6-bfa978f7474b	
1254w	VooDooKi	VooDoo Kid (1997).zip	658210012	VooDoo Kid	1997	Infogrames Europe SA	Infogrames	Adventure	This is a horror adventure game for young gamers (ages 8-15 or so) in which players can choose to play as either a boy or girl, though the game is still the same either way. When the game starts, the protagonist is reading a boring story about Baron Saturday, an evil voodoo spirit captain that's turned his entire crew into mindless zombies and is taking them to the Island of Lost Souls.The protagonist falls asleep and is transported onto Saturday's ship, where (s)he meets the Captain's butler who needs their help. He asks the protagonist to save all the other lost souls, spirits, and zombies who are trapped on the ship. Throughout the game, the butler will provide the player with clues as he keeps getting trapped.	Theme: Horror		Not Rated	Single Player		false	fefa259b-a839-a607-090a-0afa392dbb63	
1383w	LitOut3D	Lights Out 3D (1996).zip	75823087	Lights Out 3D	1996	Click! Multimedia Ltd.	Tiger Interactive	Puzzle	Lights Out 3D is a computer adaptation of Tiger Electronics' electronic game. The game is played on a grid full of pieces (here called buttons) that can be either lit or unlit. The objective of the game is to turn off all the lit buttons in as few moves as possible. Buttons are changed by clicking on them but all adjacent buttons are then also changed. Making a change creates an effect pattern and the game can be played with two different patterns: cross or diagonal. According to the box cover the game consists of over 24 billion puzzles and these are divided into nine different puzzle types. There are four different grid sizes: 5x5, 6x6, 7x7 and 8x8. It's possible to play with pre-programmed puzzles or randomized ones.			Not Rated	Multiplayer; Single Player		false	371920ca-3138-f2f1-9a70-708934c90b37	
248w	3DDino3x	3-D Dinosaur Adventure Anniversary Edition (1997).zip	573601145	3-D Dinosaur Adventure: Anniversary Edition	1997	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Adventure;Education	The Anniversary Edition is a re-release of the original game 3-D Dinosaur Adventure. New to this version is a separate disc with a small program called "Art-a-Saurus" which lets the player make pictures using paint, moving dinosaurs or non moving ones, music and lots of backgrounds to choose from. Also included with the package is an authentic fossil.3D Dinosaur Adventure is an educational game that gives info about Dinosaurs and early life on earth. Their are nine activities featured in the game including: "Save the Dinosaur", "Dinosaur movies" and "3D Dinosaur Museum", "Create a Saurus", "Photo Safari", "Dinosaur Encyclopedia", "Name a Saurus", "Make a Match" and "Dinosaur Storybook". When you pick the game you want to play you will have a ride through one of three timezones Triassic Tour, Jurassic Jungle and Cretaceous Corner. Each of them have 3D Dinosaurs in the background and give detail of what it was like during the time period. Their is also a help section that shows a whole map of the time area and tells you what prehistoric animals appear in that area.			E - Everyone	Single Player		false	67582af7-8ccc-790e-ed06-065db7c83ce0	
469w	bg8PW	Battleground 8 - Prelude to Waterloo (1997).zip	557893367	Battleground 8: Prelude to Waterloo	1997	TalonSoft, Inc.	TalonSoft, Inc.	Strategy	Recreation of the battles of Ligny and Quatre-Bras (16 Jun 1815) using the "Battleground"-system. Includes several scenarios differing in size and difficulty. In-game map view can be toggled between 2-D and 3-D perspective. Also, small video-sniplets are included, showing battle-actions.Both, Allied or French may be played by humans.	Battleground series; Historical conflict: Napoleonic Wars		E - Everyone	Multiplayer; Single Player	Battleground 8 - Prelude to Waterloo (1997).PDF	false	a6c7477b-8df3-16f6-3e76-76e77df124c6	
1w	ambHA	Hero's Adventure (1996).zip	18504725	Hero's Adventure	1996	Ambrosine	Freeware	Action;Adventure	Rescue the princess from the evil sorcerer.[13][10][13][10]6 different lands to explore. Passwords given as you reach each land.[13][10][13][10]Entirely clipart including the animated onscreen character, but challenging.			Not Rated	Single Player		false	fe0f75a7-82b8-d5e3-3b44-44be7f89c4c9	
608w	CowV-The	Cow V - The Great Egg Quest (1992).zip	15200031	Cow V: The Great Egg Quest	1992	Bovine Software	Freeware	Adventure;Interactive Fiction	A guest in your Uncle Willy's farmhouse, your relation leaves a note for you asking for you to go to the coop, feed the chickens and retrieve eggs for breakfast.  In a game with higher aspirations, those seemingly simple tasks might have led to grander adventures; here, however, getting them done is as simple and direct as one could hope.  This makes for what could be described as a very short game -- presumably the last in a long series of such.			Not Rated	Single Player		false	ed25d4b4-095f-9129-9ef2-f2a9335b7d37	
374w	2600p2	Activision's Atari 2600 Action Pack 2 (1995).zip	16272605	Activision's Atari 2600 Action Pack 2	1995	Activision, Inc.	Activision, Inc.	Action	As if the original Activision's Atari 2600 Action Pack wasn't enough for old-school console gaming junkies, Activision follows up with a second set of 15 cartridges from their archives.  These are not PC ports; the package includes a 2600 emulator and the original cartridge ROMs.The games featured in Activision's Atari 2600 Action Pack 2 are:   Atlantis  Barnstorming  Dolphin  Dragster  Enduro  Ice Hockey  Keystone Kapers  Laser Blast  Megamania  Oink!  Plaque Attack  River Raid II  Skiing  Stampede  Tennis	Atari 2600 Action Pack series		Not Rated	Multiplayer		false	bd6d6ac5-d78d-f9ab-1f62-62f9eed2bd73	
763w	HodjnPod	Hodj 'n' Podj (1995).zip	326158296	Hodj 'n' Podj	1995	Boffo Games, Inc.	Virgin Interactive Entertainment, Inc.	Cards / Tiles;Puzzle;Strategy	A wacky bunch of games in a wacky kind of world.  Solve puzzles, both familiar and unfamiliar, to rescue the two princesses Mish and Mosh.  A hodge-podge of mini-games united by a board-game quest. Some familiar favorites include reworkings of Battleship, Poker, Slots, Cryptograms, and Memory.	Board game translations		E - Everyone	Multiplayer; Single Player		false	0604c4ea-c4e2-b332-2431-31f967c4ba87	
53w	PetAlpha	Peter's Alphabet Adventure (1993).zip	91058149	Peter's Alphabet Adventure	1993	Arborescence	Living Media	Adventure;Education	Peter's Alphabet Adventure from Living Media/IMSI for ages 4 to 8. Explore, play and learn with your new pal, Pete. Step into a wild animal kingdom where you meet magnificent new friends with each letter. Learning the ABCs is lots of fun in this multimedia adventure.	Educational: Reading; Peter's Adventure series			Single Player		false	519563fc-67c1-ad44-9d5f-5f3c0bf810a7	
436w	Pirates-	Pirates - Captain's Quest (1997).zip	450515303	Pirates: Captain's Quest	1997	ImageBuilder Software, Inc.	Discovery Channel Multimedia	Adventure;Education	In Pirates: Captain's Quest the player takes on the role of a pirate captain of a Spanish brig in the early 1700s and gets to do all sorts of piratey stuff, such as sword fighting, sailing the sees, conquer islands and dig for treasures.The game is an educational game targeted towards children age 9 and up. The player gets to learn how to read a map, use a compass, and how wind sailing, trading supplies and repairs work. There are 47 adventures to embark on which success all depend on their skills in trading supplies, accurate navigation and their ability in battle.The player get to fight both on the sea with ships and their cannons and on land with sword play.	Educational: Geography; Educational: History; Educational: Science		Not Rated	Single Player		false	f4fbe447-fe90-3227-b924-24de9b9c3f92	
306w	InvenStu	Invention Studio (1996).zip	505032410	Invention Studio	1996	Music Pen	Discovery Channel Multimedia	Creativity;Education	Invention Studio is an educational game made for kids nine and up. In the game you can brainstorm then build gadgets, electronics, air and land vehicles then test them out to see how they fair. Once your creation is working and tested you can patent your invention and even print the patent. Invention Studio also includes an in-game Notebook/Sketchbook, some other mini-games as well as short videos about brilliant inventions and inventors.	Educational: Science		Not Rated	Single Player		false	42889849-a522-bbcd-57c9-c9520275bbc1	
1176w	SSTM3x	Super Solvers - Treasure Mountain! (1994).zip	332464610	Treasure Mountain!	1990	The Learning Company, Inc.	The Learning Company, Inc.	Adventure;Education	Treasure Mountain is an educational game designed for children ages 5-9. The Master of Mischief has stolen the magic crown as well as other treasures and hidden them on Treasure Mountain! Your goal is to locate the magic crown and as many of the treasures as possible while climbing your way to the top. To make your way up the mountain, you will need to find keys which unlock a path. The keys are hidden somewhere behind an object on each level of the mountain. To find out what is behind an object you need to use one of your magic coins. However, the number of coins you have is limited and there are many places to search so you first need to find clues as to where keys (and treasures!) are located. Wandering about the mountain are numerous elves; if you catch a scroll carrying elf in your net, he'll ask a question. A correct answer will provide a clue. After reaching the top of the multi-leveled mountain, all the treasures you collected along the way will be put back in the treasure chest, and you begin again at the bottom with a tougher difficulty level. After all treasures have been brought to the top, you can find the crown and win the game!	Educational: Math \ Logic; Educational: Reading; Educational: Science; Super Solvers series		Not Rated	Single Player		false	f42cc7e7-572f-47dd-39d8-d80479a9d0d4	
444w	Babylon5	Babylon 5 - Shadow Wars (1997).zip	188470081	Babylon 5: Shadow Wars	1997	Sound Source Interactive, Inc.	Sound Source Interactive, Inc.	Action;Arcade	The Babylon 5 Arcade Series Entertainment Utility, "Shadow Wars", is a B5 multimedia collection packaged with a 2D arcade game using some B5 ships. In the tradition of Galaga, you control a Starfury or a Whitestar shooting all enemies in your way. The multimedia collection, from Season 3 and Season 4 of B5, includes video clips, audio clips, wallpapers, icons, and animated cursors.			Not Rated	Single Player		false	3109c000-574a-9131-9221-2132d34fe1f7	
266w	SpaceSi1	Space Sirens - The Ultimate Cyber Sex Simulator (1994).zip	375444324	Space Sirens: The Ultimate Cyber Sex Simulator	1994	PIXIS Interactive, Inc.	PIXIS Interactive, Inc.	Adult;Simulation	Space, months and months of empty space. It stretches out behind you as you transport your cargo of beer and pretzels to Orion 7. Your faithful ship has seen better days but it gets the job done. You're contemplating some hot downtime at the red light spaceport when suddenly you realize you are not alone. You're a space privateer at the helm of your solo craft in search of rare alien artifacts. Responding to a distress signal, you are lured by the irresistible song of the sensuous Space Sirens emanating from a mysterious space station. You enter their domain only to realize that you've been entrapped in a VR chamber. Fulfill their every desire or remain a sex slave on the station forever. Your prime objective - search and fulfill. With advanced technology called Touch & Feel User Interface (TFUI for short, pronounced tuh-foo-eee), users can interact with the Space Sirens by selecting an icon to represent an-ahem-"appendage," whether it be a hand or "other special interface tools." Each Siren is more difficult to please, so work hard and fast to peak their O-Meter without losing control of yourself, or it's end for you.	Space Sirens series		A - Adult	Single Player		false	1f7c9531-c9e7-411c-2aac-acb23c2fd412	
874w	MasqueVi	Masque Video Poker (1995).zip	379939723	Masque Video Poker	1995	Roger Gilberston	Masque Publishing, Inc.	Cards / Tiles;Casino	Masque Video Poker is a single player video poker simulation.The game starts with the player either choosing an existing identity or creating a new one. The game can be played entirely via the keyboard or entirely via the mouse, or a combination of the two. There is no save game function allowing the results of one session to be carried forward to the next.In a typical game the player starts with 40 credits and can bet 1,2,3,4 or 5 credits bet game. The game screen shows the winning hands and the payouts for each.Once the bet is made the player clicks on the 'Deal' button and five cards are dealt. If a winning hand is dealt the game screen automatically highlights the appropriate line. The player may hold or any of their cards before selecting the 'deal' button for the final time. Any cards not held will be replaced by this re-deal. Again the game automatically highlights the winning line. If the player has won their winnings are automatically added to their current total.The lowest hand the game pays out on is a high card pair, that's a pair of Jacks, Queens, Kings or Aces. Single pairs of other numbers do not win. The game has in-game music and also allows the player to listed to their own CD while playing.	Genre: Card / Tile game - Poker			Single Player		false	0e7cc629-f79d-fb07-1d70-70ad9cad9a76	
31w	FF3CSCS	Freddi Fish 3 - The Case of the Stolen Conch Shell (1998).zip	367157406	Freddi Fish 3: The Case of the Stolen Conch Shell	1998	Humongous Entertainment, Inc.	Infogrames	Adventure;Education	Freddi Fish and her pal Luther are back in another installment of this animated edutainment adventure series. The Great Conch Shell used to signal the start of the Founder's Day Festival has been stolen. Freddi and Luther have to find the missing shell, discover the identity of the criminal, and clear Luther's uncle, who has been jailed as the prime suspect.[13][10][13][10]Gameplay is inventory based adventure style, peppered with a host of mini-games that are a hallmark of Humongous Entertainment's kids adventure titles.[13][10][13][10]The mini games here include playing a huge pipe organ and testing your mettle at a host of carnival midway games.	Freddi Fish series; Junior Adventure games		Not Rated	Single Player		true	868d79fd-39b9-16f1-fbf0-f00305fcccb4	
1922w	HardDayA	Hard Day's Night, A (1993).zip	640450249	A Hard Day's Night	1993	The Voyager Company	The Voyager Company	Reference	Released in 1964, A Hard Day's Night captures the Beatles just after their first triumphant tour of America. Now, A Hard Day's Night is completely digitized for playback on your computer. In 1993, Years before the advent of DVD, A Hard Day's Night became the first major motion picture to be released in CD-ROM format for the home computer market, with supplementary material included.				Single Player		false	19d340bb-6993-44a8-bc66-66ecc4e9d503	
487w	TheBizar	Bizarre Adventures of Woodruff and the Schnibble, The (1995).zip	334225797	The Bizarre Adventures of Woodruff and the Schnibble	1995	Coktel Vision	Sierra On-Line, Inc.	Adventure	After a devastating atomic war, the world population was nearly annihilated, and the survivors had to hide deep underground. In the meantime, a peaceful race of human-like creatures, the boozooks, populated the Earth. After the humans ascended to the surface again, they started a bloody war against this race. The boozooks were mercilessly destroyed, their culture demolished, and in the end of the war they were enslaved by humans.The vertical, economically self-sufficient city of Vlurxtrznbnaxl was erected, controlled by a corrupt leader known as BigWig, who oppressed population with heavy taxes and freedom restrictions. The genius Professor Azimuth, sympathetic to the cause of the boozooks, has discovered a mysterious object or entity known as the Schnibble, which apparently could bring peace and prosperity to the world. However, BigWig's henchmen kidnap the professor and even shoot a teddy bear that belongs to his little adopted half-boozook son Woodruff. Applying a device called Viblefrotzer to himself, Woodruff physically ages fifteen years, and feels strong enough to begin a search for his foster father and find a way to dethrone BigWig.Woodruff is an adventure game with a cartoon-like appearance and many tricky puzzles, similar in art style and design to the Gobliiins series by the same creators. Unlike Gobliiins, this is a full-fledged adventure where the player character can move around freely, explore the large city, and interact with many characters. The interaction with the environment is done with a simple point-and-click system, without separate verb commands. The majority of the puzzles are inventory based; beside items, Woodruff can also use various spells (such as, for example, levitation) as well as ancient boozook formulae, which he has to learn and collect in order to advance in the game.			Not Rated	Single Player	Bizarre Adventures of Woodruff and the Schnibble, The (1995).pdf	true	9d70876e-23a9-306d-96d4-d4b60a093af5	
1182w	Taipei	Taipei (1990).zip	26198059	Taipei	1990	Dave Norris	Microsoft Corporation	Cards / Tiles;Puzzle	A popular Mahjongg adaptation, Taipei has the player attempting to find matches between the Oriental-motif patterns printed atop "free" (generally: exposed, on corners) tiles in various layered formations.  Matched pairs disappear, yielding different free tiles and further matching possibilities.  Ostensibly, the game is completed when all tiles are matched, though sometimes random tile placement results in unwinnable games.This game ended up, like many of its brethren, in pretty much every office in the nation courtesy of its inclusion in the Microsoft Entertainment Pack for Windows, and later the Best of Microsoft Entertainment Pack.	Genre: Card / Tile game - Shanghai / Solitaire mahjongg			Single Player		false	7a4e1add-2047-025b-8f55-55dbb33382b5	
822w	Kye	Kye (1992).zip	24276623	Kye	1992	Colin Garbutt	Freeware	Action;Puzzle	Kye is a classic "collect the diamonds" game named after the author's dog. Kye must be navigated through some difficult levels, eating or pushing blocks out of his way, and figuring out obstacles and traps. There are balls that move in one direction, sticky blocks that can pull obstacles out of the way, and five kinds of monsters that pursue Kye in real-time. Besides the monsters, some levels have blocks that are constantly in motion, so reflexes and skill are required in addition to problem solving. There is no gravity and no boulders to drop, and the levels, blocks and monsters are entirely original, so this isn't just another Boulder Dash clone. You can design your own custom levels, and a number of third-party level packs exist. Version 2.0 added five extra levels, black holes, one way doors, time bombs, an on-screen level editor, and registration now required a charitable donation to Save the Children, instead of direct payment to the author. There are 15 levels in the shareware version, and originally there were 20 extra levels in the registered version. User-created levels were added over the years, with a final tally of 496 extra levels in the registered version.				Single Player		false	76115482-97af-79a8-60f3-f3091c6f8b9d	
560w	Brainiac	Brainiacs (1995).zip	36791051	Brainiacs: 3-D Baffle and Hex	1995	Twisted Pine Software	Strange Ranger	Puzzle;Strategy	Brainiacs: 3-D Baffle and Hex is a compilation of two puzzle games and is one of a series of Brainiacs 3-D titles.The first game here is 3-D Pegged, formerly known as 3-D Baffle and Epic Pegged. This game is an animated version of the board game commonly known as Solitaire in the UK, Peg Solitaire in the US, another common name is Brainvita. The game is played on a board with a number holes in it of pegs in it. The player must jump one peg over another to capture it, all captured pieces are removed and the object is to finish with a single peg in the central hole.  The standard game has all the holes, apart from the central hole, occupied by a peg. This is an animated version of that game with several non-standard peg configurations of escalating difficulty. It also has two choices of boards & pegs, several types of music and a range of in-game sounds.The second game is 3-D Hex which is a two player strategy game played on a hexagonal grid. Each player takes it in turns to place a piece in a cell on the grid. The object is to link two sides before the other player does. The game can be played with two players or by one player against the computer.	Board game translations		Not Rated	Multiplayer		false	e329ca34-187e-f4f4-c19f-9fcb8a6b4a4a	
1072w	MSBOcean	Scholastic's The Magic School Bus Explores the Ocean (1995).zip	350682764	Scholastic's The Magic School Bus Explores the Ocean	1995	Music Pen	Scholastic, Inc.	Education	Scholastic's The Magic School Bus Explores the Ocean is the third game in the series based on the children's educational books by Joanna Cole and Bruce Degen. In this adventure, Ms. Frizzle and her class are headed to the ocean on a mission to explore zones and answer three clues that will lead to a sunken treasure. Traveling by submarine bus, the group will make stops at the Coral Reef, the Open Ocean, the Deep Ocean, the Hot Vents, the Kelp Forest, and more. At each stop the player can access activities, reports and experiments related to that zone by clicking on items nearby. There are also a number of zone-themed minigames that utilize both the mouse and the arrow keys. Among them are:  Crab Chase - the player must click to move a crab around on the beach and collect food while avoiding a predatory seagull.  Ride the Tide - the player helps a fish swim through the tidal changes by moving with the arrow keys and jumping over rocks with the space bar.  Kelp Clean-Up - collect and bag up garbage while avoiding sharks.  Food Chain Game - a jigsaw puzzle featuring colorful diatoms.  Lantern Fish Game - the player must help a lantern fish gulp down its prey while moving through the oceanThere are two ways to move around; from the inside of the bus the player can click on the steering wheel and the gearshift, and while outside the bus he is able to scroll from screen to screen by selecting the arrows or clicking the submarine cursor. Zones may be visited in any order. Once the player has collected enough clues and travels to the area where the treasure is buried, he will find a treasure scanner to uncover it, and the game is won.This game is suggested for ages 6 - 10, and the educational focus is on scientific exploration and experimentation, rather than simple fact-finding.	Educational: Science; Magic School Bus series		Not Rated	Single Player		true	955358c4-4687-0cd2-472b-2b05cf9605a2	
953w	OOG-TheO	OOG - The Object Orientation Game (1995).zip	26842652	OOG: The Object Orientation Game	1995	MCM Productions	MCM Productions	Education;Puzzle	This is a computer version of Tangram. Tangram is an ancient Chinese puzzle with just a few geometric shapes (to be exact, one square, one parallelogram and five triangles of varied sizes). Move and rotate these pieces to build a goal shape (squares, polygons, profiles,...). The program has dozens of pre-made goals, but you can create and save your own. If you are stuck, the program can help you by placing a piece of your choice in the correct position.The program also includes other shapes for the pieces (pentominoes, polyominoes and hexagons), and separated statistics for different players.	Educational: Science		Not Rated	Single Player		false	8aa3d72f-3f5b-ecfb-a33e-3e79d808957c	
1379w	Case4Cap	Case for Cap and Co., A (1997).zip	390797864	A Case for Cap & Co.	1997	T1 New Media	Tivola Publishing, Inc.	Adventure;Detective / Mystery	Karen Lucre is in a fix! Zak, her little dog has been kidnapped![13][10]The kidnappers are asking for a huge ransom. Zak is in a great danger. Time is running out and Karen's parents are on holiday... it's obviously A Case for Cap and Co! Together with Cap, Billy, Karen and Toby you must comb the town of Roseborough for clues. Who are the kidnappers? Where is poor Zak being held? Can you help free him in time?			Not Rated	Single Player		false	708b0759-c5e6-8640-e728-28b661de8ec4	
1209w	Timmyand	Timmy and the Magic Pictures (1995).zip	206192098	Timmy and the Magic Pictures	1995	Compedia Software & Hardware Ltd.	Compedia Software & Hardware Ltd.	Education	Following Timmy's Sea Adventure, this  is the second release in the Timmy's series of interactive stories, written by David Grossman.Timmy finds that he can make the pictures on his bedroom wall come to life. This leads to many games and activities that improve reading and thinking skills : labyrinth, matching games, jigsaw puzzles and even play music with Timmy's xylophone.In the options, you can set the levels of play (3), change the language and turn on/off the background music.	Educational: Math \ Logic; Educational: Music; Educational: Reading; Timmy series			Single Player		false	f0d783de-6b58-644c-eb8c-8c13ab72e251	
130w	IslCasi	Island Casino (1995).zip	592957824	Island Casino	1995	GT Interactive Software	GT Interactive	Cards / Tiles;Casino	Check-in to the El San Juan Hotel and Casino and hit the tables for 25 of the world's most popular casino games! Or learn to play with step-by-step, easy-to-understand instruction. Brilliant graphics and sophisticated gameplay put you right in the center of the non-stop casino action, and let you feel the thrill of hitting it big with the most complete and authentic gambling experience available on CD-ROM. It's your Virtual Vacation- and it's only a mouse-click away- Island Casino!			Not Rated	Single Player		false	a27d3c50-fa5f-17b8-9ef3-f3275805ce02	
33w	FPGACAS	Fisher-Price Great Adventures - Castle (1997).zip	266230465	Fisher-Price Great Adventures: Castle	1997	Funnybone Interactive	Davidson & Associates, Inc.	Education	Woe to the Fisher-Price kingdom! The good King McBeard's castle was taken over by his brother, the evil King Smudge and his Naughty Knights. It is up to you to help McDuff find where the Good Knights have been hiding and convince them to help take back the castle from King Smudge. Players can choose to play a game where they will only have to rescue two of the knights to win or a full game where they must find all six knights to storm the castle. Players must solve a variety of puzzles and challenges before they can save King McBeard. And if you win, the good McDuff will be knighted and join the other Good Knights in the castle. It contains elements of early learning for children including art, creativity, critical thinking, reading comprehension, imagination and role-playing.	Fisher-Price licensees		EC - Early Childhood	Single Player		false	94808426-6460-9750-a36b-6b2b2557f4c0	
223w	arthbday	Arthur's Birthday (1994).zip	234683850	Arthur's Birthday	1994	Living Books	Brøderbund Software, Inc.	Education	Arthur's Birthday is an interactive storybook adaptation of Marc Brown's original picture book. Arthur is very excited about his upcoming birthday party, but as he invites all of friends to it, he makes the unfortunate discovery that Muffy is having her birthday party the same day, which puts all of the kids into a dilemma. However, on the way home from school the next day, Arthur and Francine devise a plan to fix the situation.[13][10][13][10]As with other Living Books, the game offers the option of simply reading the story, or reading each page and then letting the user interact with the pictures. Clicking on the various objects reveals all sorts of surprises. In 1997, the game was updated and given a second version that upped the screen resolution and added a Pin the Tail on the Donkey minigame and a scavenger hunt game called The Great Gift Mystery.	Educational: Reading; Living Books series; Arthur licensees		Not Rated	Single Player		false	4378bed6-a99b-a3d5-c0f8-f8a4d62e0d7b	
